from:,https://sglux.de/en/product-category/sic-uv-photodiodes/broadband-photodiodes/,on,10/27/20,digitized using,https://apps.automeris.io/wpd/
Wavelength,Sensitivity,scale,,,
201.497006,0.011764706,linear,,,
205.0898204,0.020588235,linear,,,
209.2814371,0.029411765,linear,,,
211.6766467,0.042647059,linear,,,
218.8622754,0.082352941,linear,,,
220.6586826,0.095588235,linear,,,
224.251497,0.148529412,linear,,,
225.4491018,0.161764706,linear,,,
226.6467066,0.183823529,linear,,,
229.0419162,0.210294118,linear,,,
230.239521,0.232352941,linear,,,
232.0359281,0.263235294,linear,,,
233.2335329,0.285294118,linear,,,
234.4311377,0.302941176,linear,,,
235.6287425,0.325,linear,,,
237.4251497,0.351470588,linear,,,
239.8203593,0.395588235,linear,,,
241.6167665,0.430882353,linear,,,
244.011976,0.475,linear,,,
245.2095808,0.492647059,linear,,,
247.005988,0.527941176,linear,,,
248.2035928,0.554411765,linear,,,
249.4011976,0.589705882,linear,,,
252.3952096,0.638235294,linear,,,
254.1916168,0.686764706,linear,,,
255.988024,0.730882353,linear,,,
257.1856287,0.766176471,linear,,,
258.3832335,0.792647059,linear,,,
259.5808383,0.810294118,linear,,,
261.9760479,0.841176471,linear,,,
263.7724551,0.876470588,linear,,,
266.1676647,0.911764706,linear,,,
268.5628743,0.933823529,linear,,,
269.1616766,0.951470588,linear,,,
270.9580838,0.960294118,linear,,,
273.3532934,0.986764706,linear,,,
275.1497006,0.995588235,linear,,,
276.9461078,1,linear,,,
279.3413174,1.008823529,linear,,,
280.5389222,1,linear,,,
284.1317365,0.991176471,linear,,,
288.3233533,0.973529412,linear,,,
291.9161677,0.938235294,linear,,,
294.9101796,0.920588235,linear,,,
297.9041916,0.894117647,linear,,,
299.7005988,0.867647059,linear,,,
301.497006,0.854411765,linear,,,
305.0898204,0.819117647,linear,,,
306.2874251,0.797058824,linear,,,
309.8802395,0.757352941,linear,,,
312.2754491,0.726470588,linear,,,
314.6706587,0.691176471,linear,,,
317.0658683,0.669117647,linear,,,
318.2634731,0.642647059,linear,,,
320.6586826,0.616176471,linear,,,
323.0538922,0.576470588,linear,,,
324.8502994,0.541176471,linear,,,
327.245509,0.514705882,linear,,,
329.0419162,0.483823529,linear,,,
330.8383234,0.457352941,linear,,,
335.0299401,0.4,linear,,,
338.6227545,0.347058824,linear,,,
341.0179641,0.307352941,linear,,,
344.011976,0.254411765,linear,,,
347.005988,0.219117647,linear,,,
348.8023952,0.188235294,linear,,,
352.3952096,0.144117647,linear,,,
354.7904192,0.113235294,linear,,,
358.9820359,0.086764706,linear,,,
360.1796407,0.069117647,linear,,,
361.9760479,0.060294118,linear,,,
364.3712575,0.047058824,linear,,,
368.5628743,0.029411765,linear,,,
373.3532934,0.011764706,linear,,,
376.3473054,0.007352941,linear,,,
381.1377246,0.002941176,linear,,,
388.3233533,0.002941176,linear,,,
201.497006,0.757352941,log,,,
203.2934132,0.783823529,log,,,
206.2874251,0.797058824,log,,,
209.8802395,0.814705882,log,,,
214.6706587,0.845588235,log,,,
221.8562874,0.885294118,log,,,
225.4491018,0.902941176,log,,,
234.4311377,0.942647059,log,,,
239.8203593,0.955882353,log,,,
246.4071856,0.969117647,log,,,
251.1976048,0.977941176,log,,,
257.7844311,0.991176471,log,,,
265.5688623,1,log,,,
272.754491,1.004411765,log,,,
284.7305389,1.004411765,log,,,
291.9161677,1,log,,,
301.497006,0.995588235,log,,,
312.2754491,0.986764706,log,,,
323.6526946,0.973529412,log,,,
332.6347305,0.955882353,log,,,
339.8203593,0.942647059,log,,,
347.005988,0.920588235,log,,,
354.1916168,0.889705882,log,,,
361.9760479,0.85,log,,,
366.1676647,0.823529412,log,,,
369.1616766,0.801470588,log,,,
373.9520958,0.748529412,log,,,
378.1437126,0.677941176,log,,,
381.1377246,0.633823529,log,,,
384.7305389,0.554411765,log,,,
386.5269461,0.501470588,log,,,
388.3233533,0.457352941,log,,,
390.7185629,0.4,log,,,
391.9161677,0.342647059,log,,,
395.508982,0.205882353,log,,,
399.1017964,0.095588235,log,,,
400.2994012,0.007352941,log,,,